gw-12599	435.57	-289.049
bb-12842	508.72	-332.913
gw-12612	345.396	-303.049
bb-12611	341.81	-283.647
bb-12613	347.067	-277.778
gw-12610	341.928	-275.498
bb-12607	388.793	-294.191
bb-12608	392.533	-291.282
bb-12609	388.354	-289.919
leaf-12616	434.408	-215.823
leaf-12617	455.787	-224.828
leaf-12696	462.582	-214.259
leaf-12707	441.907	-187.847
leaf-12708	463.297	-200.672
leaf-12709	456.712	-186.035
leaf-12776	441.835	-227.115
leaf-12885	417.806	-220.258
leaf-12952	415.119	-209.746
leaf-12789	425.901	-183.645
leaf-11242	539.888	-462.813
gw-13130	517.413	-417.793
gw-13134	551.847	-443.837
bb-12537	329.595	-96.7081
gw-12544	324.955	-55.1543
gw-12545	365.308	-184.767
gw-12546	402.166	-133.531
bb-12547	395.159	-134.913
gw-13004	260.674	-418.591
bb-13011	298.526	-365.027
bb-13015	177.37	-461.583
gw-12598	429.509	-285.644
bb-12841	504.854	-326.441
leaf-4626	136.238	-364.95
leaf-6868	431.893	-200.318
gw-12597	395.543	-264.94
bb-13135	609.956	-455.809
bb-13136	604.203	-454.557
bb-13138	606.376	-448.93
bb-11047	543.169	-265.468
bb-12556	554.966	-172.893
bb-12792	620.436	-190.491
bb-12793	651.246	-248.131
bb-12794	574.751	-174.598
bb-12799	639.138	-243.257
bb-12800	582.693	-172.05
bb-12801	626.071	-237.022
bb-12806	602.992	-300.365
bb-12807	595.8	-300.009
bb-12809	510.757	-214.462
bb-12811	604.87	-188.452
bb-12815	591.757	-171.918
bb-12816	629.912	-224.608
bb-12820	567.197	-159.6
bb-12823	516.893	-222.33
bb-12843	515.989	-255.282
bb-12857	488.107	-282.818
gw-12858	475.784	-296.872
bb-12866	628.667	-209.681
bb-12867	565.071	-175.018
bb-13090	614.379	-204.765
gw-12830	565.139	-251.333
bb-12831	557.374	-250.961
gw-12829	567.744	-240.642
bb-12832	569.789	-261.949
bb-12833	580.286	-246.839
gw-12834	558.633	-238.973
gw-12836	537.732	-237.274
bb-12837	545.097	-241.048
gw-12838	532.482	-233.777
bb-12839	552.145	-256.679
bb-12840	546.073	-249.462
bb-13137	634.393	-472.955
gw-13145	665.265	-413.787
gw-13146	667.566	-425.691
leaf-13118	585.149	-476.781
gw-13133	537.528	-426.657
gw-12752	331.219	-507.289
gw-12754	401.266	-523.882
gw-12767	366.883	-423.622
bb-12764	290.806	-529.797
bb-12765	315.351	-451.265
bb-12766	268.791	-508.67
leaf-12763	253.543	-557.895
gw-12768	351.955	-439.006
leaf-12773	274.998	-569.62
leaf-12951	327.57	-588.975
leaf-13057	304.289	-442.554
bb-12535	374.26	-88.3326
leaf-12619	544.696	-674.643
leaf-12873	534.017	-675.451
leaf-12514	327.008	-795.09
gw-12517	353.506	-697.25
gw-12518	414.523	-832.196
bb-12795	631.039	-245.298
bb-12821	570.866	-281.357
bb-12808	600.571	-291.617
bb-12810	605.155	-284.645
bb-12812	614.224	-296.758
gw-12848	537.289	-381.94
bb-12814	648.695	-236.578
bb-12835	671.05	-280.88
gw-12846	517.239	-366.924
gw-12849	522.281	-367.796
bb-12845	526.509	-280.146
bb-13131	541.708	-358.314
bb-12851	532.767	-328.777
gw-12920	572.762	-302.318
bb-12860	522.881	-297.013
bb-12859	538.768	-296.539
bb-13049	395.647	-343.334
leaf-13141	584.863	-460.763
gw-12755	346.943	-533.263
bb-12997	312.337	-516.912
bb-13074	240.309	-411.818
bb-13016	337.932	-543.106
bb-12454	593.514	-433.623
gw-12468	730.233	-502.262
bb-12476	670.876	-492.034
leaf-13120	834.955	-485.297
bb-13121	668.481	-515.764
leaf-12451	377.573	-586.091
bb-12759	353.461	-487.431
bb-12761	349.004	-489.192
bb-12998	300.83	-483.422
bb-12757	396.901	-549.746
bb-12999	302.513	-472.069
leaf-12762	399.695	-472.878
leaf-12452	568.863	-468.533
gw-12847	513.756	-363.667
bb-12868	563.058	-399.642
bb-12875	590.092	-359.34
bb-12948	597.783	-394.917
bb-13013	600.498	-372.888
bb-13060	540.924	-404.55
bb-13091	462.364	-381.977
leaf-12862	611.723	-361.892
bb-12469	573.711	-429.692
bb-12470	550.824	-435.463
gw-13126	638.259	-405.31
bb-13132	571.934	-483.18
leaf-13142	743.895	-456.689
leaf-13143	691.506	-370.345
leaf-13144	691.192	-446.213
leaf-12472	283.562	-759.432
gw-12931	285.644	-693.847
gw-12932	302.97	-673.324
bb-12526	510.047	-467.865
leaf-12471	668.438	-471.27
gw-13127	620.085	-424.173
gw-13129	620.679	-416.1
leaf-13140	719.214	-505.678
leaf-12960	379.709	-593.371
leaf-13081	190.711	-764.003
bb-12758	287.999	-440.317
bb-13050	340.374	-367.652
bb-12769	262.719	-534.817
bb-12770	226.765	-501.286
bb-13058	229.605	-514.084
gw-12753	338.666	-509.072
gw-12756	417.777	-512.579
bb-12474	222.981	-486.907
bb-12760	271.83	-442.783
bb-12475	700.468	-494.548
leaf-12473	235.916	-559.618
gw-12501	568.947	-533.965
